episode,reward,satisfaction,complaints,hp_satisfaction,loss,epsilon
100,43.584,7.86,18.92,2.61,0.0307,0.670
200,44.793,8.20,16.86,2.78,0.1053,0.449
300,46.215,8.35,15.53,2.84,0.1658,0.300
400,49.195,8.29,11.78,2.72,0.2106,0.201
500,50.424,8.55,11.38,2.80,0.2415,0.135
600,52.212,9.03,9.71,2.91,0.2618,0.090
700,53.405,8.79,11.30,2.86,0.2835,0.060
800,54.874,9.10,9.12,2.94,0.2936,0.041
900,56.463,9.19,8.25,2.98,0.2945,0.027
1000,55.117,8.88,8.98,2.93,0.2978,0.020
