episode,reward,satisfaction,complaints,hp_satisfaction,loss,epsilon
100,27.332,5.85,0.00,1.76,0.0235,0.740
200,28.455,6.38,0.00,1.78,0.0603,0.548
300,30.281,6.49,0.00,1.70,0.0895,0.406
400,33.219,7.21,0.00,1.76,0.1134,0.301
500,35.366,7.90,0.00,1.83,0.1330,0.223
600,37.133,8.53,0.00,1.87,0.1470,0.165
700,40.458,8.56,0.00,1.91,0.1560,0.122
800,40.053,8.66,0.00,1.93,0.1593,0.090
900,43.325,8.89,0.00,1.92,0.1620,0.067
1000,42.526,8.89,0.00,1.94,0.1643,0.050
